Function,Instance,Dimensions,NP,CR,F,MuSt,CRSt,Local Iterations,Workers,Evaluations,Migrations,Global Time,Chromosome,Target,Score,Stop Reason,Restarts
21,1,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,7.271702199999709,(-2.51412215632;-1.77962089091;3.87903679758;-2.18260287628),40.78000001,40.780000121,1,0
21,2,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,7.163940599999933,(1.12854206719;-2.01230473248;0.570761916241;3.01180128204),-1.5999999900000001,-1.6,1,0
21,3,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,7.2150243999999475,(3.11386043231;-0.805733826321;-1.58873355421;1.93180442307),-370.83999998999997,-370.84,1,0
22,1,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,6.880421200000001,(1.36192655439;0.719740790449;2.61816646626;-0.147318838584),-999.99999999,-999.999999128,1,0
22,2,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,13.523101399999632,(-0.714857492;-1.4029575333;-2.05361568575;2.61664909715),1000.00000001,1000.0,1,0
22,3,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,12.35307929999999,(3.75692228569;2.63855588923;3.32289105185;-0.00555743347966),-49.12999999,-49.13,1,0
23,1,4,80,0.5,0.6,differenceVector,binomial,150,4,252080,21,124.7481413999999,(1.35705945554;1.28259760569;2.95304562914;2.71302714414),6.87000001,7.27361618427,0,3
23,2,4,80,0.5,0.6,differenceVector,binomial,150,4,252080,21,132.84980279999945,(1.65343731792;-4.07994425824;-1.65300148902;-3.64515787403),0.01000001,0.270424532882,0,3
23,3,4,80,0.5,0.6,differenceVector,binomial,150,4,252080,21,130.0580826000005,(0.32758801291;-1.44141737472;2.36819280757;3.25680988036),-130.60999999,-130.197716454,0,3
24,1,4,80,0.5,0.6,differenceVector,binomial,150,4,264080,22,110.44966099999965,(-1.52447605243;1.06569533191;0.885256043625;-0.976288793888),102.61000001,106.2578667,0,3
24,2,4,80,0.5,0.6,differenceVector,binomial,150,4,264080,22,117.20088600000054,(-1.22988975697;1.03124588219;-1.83023427076;0.848300952824),93.30000000999999,97.6859917716,0,3
24,3,4,80,0.5,0.6,differenceVector,binomial,150,4,264080,22,123.95483670000067,(1.41858482466;1.19321631971;0.877495410808;1.56965959971),13.640000010000001,15.660576259,0,3
1,1,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,21.14706860000024,(0.252800027169;-1.15680005231;-0.724000016844;1.92640001641),79.48000001,79.48,1,0
1,2,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,21.85110059999988,(-3.89839998634;-2.89040007436;-3.80239992719;3.9055999819),394.48000001,394.48,1,0
1,3,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,24.55013609999969,(-3.79839998356;0.203199922274;-0.691199977436;-3.69120007883),-247.10999999,-247.11,1,0
2,1,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,14.705222100000356,(1.20719996295;0.448000066512;3.5544000332;2.38640000684),-209.87999999,-209.88,1,0
2,2,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,12.373190799999975,(0.725599926559;2.62160006882;0.0904000087188;-1.82639999813),-92.08999999000001,-92.09,1,0
2,3,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,12.761125600000014,(0.239199566724;3.64559998532;1.24960001973;-2.10960000035),-87.88999999,-87.89,1,0
3,1,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,21.618593299999702,(-2.34080034528;2.30000007957;2.21359998891;0.727999976808),-462.08999998999997,-462.09,1,0
3,2,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,22.959401699999944,(2.39839992435;-0.856000191496;-1.27200012628;3.32319999565),77.66000000999999,77.66,1,0
3,3,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,24.962677900000017,(-2.1784014489;-0.983200288488;0.244800324488;3.08879979005),115.68000001,115.680000001,1,0
4,1,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,13.486844999999448,(2.34079981732;2.29999762071;2.21359986374;0.727998547738),-462.08999998999997,-462.089999993,1,0
4,2,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,14.917767699999786,(2.39839779303;-0.856000036402;1.27199946314;3.32320022097),77.66000000999999,77.6600000012,1,0
4,3,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,14.108496200000445,(2.17839213844;-0.983199553051;0.244797002756;3.08880081682),115.68000001,115.680000021,1,0
5,1,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,9.560061700000006,(9.03919687094;7.27440288132;7.21937313172;5.38894144412),-9.20999999,-9.21,1,0
5,2,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,10.038851700000123,(8.43924242744;-5.05352716171;-5.64964307134;6.26340968556),655.99000001,655.99,1,0
5,3,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,9.086689400000068,(-5.18317238951;-10.559283981;-6.31879869269;6.31463966577),66.71000000999999,66.71,1,0
6,1,4,80,0.5,0.6,differenceVector,exponential,150,4,144080,12,199.06061369999952,(2.67347684933;1.03082090485;2.58795446232;3.40810008498),35.90000001,35.936436569,0,3
6,2,4,80,0.5,0.6,differenceVector,exponential,150,4,144080,12,198.18323810000038,(-0.310300658244;1.92137790626;-3.99523289301;3.85724570705),31.370000010000002,31.4436383675,0,3
6,3,4,80,0.5,0.6,differenceVector,exponential,150,4,144080,12,196.10882270000002,(-0.18715901482;-3.32920208905;2.82181159589;3.56885391502),-999.99999999,-999.999973481,0,3
7,1,4,80,0.5,0.6,differenceVector,exponential,150,4,156080,13,147.92583469999954,(-0.326310729841;0.711204697802;0.3033429502;3.0589192061),92.94000000999999,92.9632802448,0,3
7,2,4,80,0.5,0.6,differenceVector,exponential,150,4,156080,13,143.8239072999986,(1.701968935;1.56935382118;3.92542331874;1.62433785727),35.35000001,35.4464926685,0,3
7,3,4,80,0.5,0.6,differenceVector,exponential,150,4,12080,1,13.735447199998816,(4.00225311777;1.20535995862;1.92301083582;-2.55514890181),3.82000001,3.8200004944,1,0
8,1,4,80,0.5,0.6,differenceVector,exponential,150,4,168080,14,163.5904112999997,(-0.0588672084462;-0.378199460807;0.00146485672504;1.81597212189),149.15000001,149.151330924,0,3
8,2,4,80,0.5,0.6,differenceVector,exponential,150,4,168080,14,157.24686669999937,(-2.84029415706;1.19299774929;1.56299455979;-1.47253105348),-999.99999999,-999.994584501,0,3
8,3,4,80,0.5,0.6,differenceVector,exponential,150,4,168080,14,158.68769310000062,(-0.790489470258;-1.12023309124;2.49689895156;-2.1182859857),98.62000001,98.631460264,0,3
9,1,4,80,0.5,0.6,differenceVector,exponential,150,4,180080,15,168.6376874000016,(0.316786585265;-0.126483031806;0.147330466112;1.17810492985),123.83000000999999,123.855785529,0,3
9,2,4,80,0.5,0.6,differenceVector,exponential,150,4,180080,15,174.78406440000072,(-0.0753022384084;-0.239977094275;-0.277863495448;0.595628118041),47.51000001,47.5585666831,0,3
9,3,4,80,0.5,0.6,differenceVector,exponential,150,4,180080,15,181.33174629999849,(-0.749588228885;-0.100152512443;-0.152850043364;-0.174482193283),55.340000010000004,55.3654748012,0,3
10,1,4,80,0.5,0.6,differenceVector,exponential,150,4,192080,16,291.2748159999992,(-1.33607951561;-2.01308608004;-2.66491082817;2.43798392859),-54.93999999,-44.9656391704,0,3
10,2,4,80,0.5,0.6,differenceVector,exponential,150,4,192080,16,296.80578649999734,(-2.67497834972;1.76421489681;-1.31166560224;0.698092279485),59.13000001,67.2906890353,0,3
10,3,4,80,0.5,0.6,differenceVector,exponential,150,4,192080,16,295.5600672999972,(0.195715657695;-2.53437509466;-2.56099667443;-1.01725080688),-491.52999998999996,-483.940987836,0,3
11,1,4,80,0.5,0.6,differenceVector,exponential,150,4,192080,16,192.9103596999994,(-1.38181236771;-3.09046983431;-1.17720567616;0.910531747648),76.27000000999999,78.0446399382,0,3
11,2,4,80,0.5,0.6,differenceVector,exponential,150,4,192080,16,193.37184029999844,(2.03849983835;2.4864443993;1.38056336746;-3.2102966276),-22.54999999,-20.8211440024,0,3
11,3,4,80,0.5,0.6,differenceVector,exponential,150,4,192080,16,225.9823222999985,(1.02853781167;2.06737464774;1.86985883639;0.885484436447),13.660000010000001,15.6538875676,0,3
12,1,4,80,0.5,0.6,differenceVector,exponential,150,4,204080,17,205.300270300002,(-0.757540866986;3.99467106606;0.173239826736;-3.80153744292),-621.10999999,-621.06901212,0,3
12,2,4,80,0.5,0.6,differenceVector,exponential,150,4,204080,17,238.64090860000215,(3.74325771589;3.76850622703;-0.233219091803;-0.910161102649),-254.81999998999999,-254.675300964,0,3
12,3,4,80,0.5,0.6,differenceVector,exponential,150,4,204080,17,202.21408959999826,(-3.78549974144;-2.10702688729;-4.10910166786;0.701571992024),56.61000001,57.4775977454,0,3
13,1,4,80,0.5,0.6,differenceVector,exponential,150,4,216080,18,227.75392959999954,(0.796372040179;-1.71535590206;-3.61004957839;-1.97403629325),29.97000001,30.1413671394,0,3
13,2,4,80,0.5,0.6,differenceVector,exponential,150,4,216080,18,227.3145306999977,(2.63802476216;3.21383611495;-3.32763871186;-3.55422730599),-51.70999999,-51.1644294253,0,3
13,3,4,80,0.5,0.6,differenceVector,exponential,150,4,216080,18,208.0782419999996,(-3.60297688771;-3.97041882934;3.27717716159;-0.972248244846),-279.94999999,-279.814433504,0,3
14,1,4,80,0.5,0.6,differenceVector,exponential,150,4,216080,18,192.11394819999987,(-0.893422877189;-1.22400204696;2.58046616186;-2.36947508297),-52.34999999,-52.3498445171,0,3
14,2,4,80,0.5,0.6,differenceVector,exponential,150,4,216080,18,194.2182885000002,(0.809596155908;0.49464104951;-3.45134479948;2.39619900507),-179.53999998999998,-179.539914507,0,3
14,3,4,80,0.5,0.6,differenceVector,exponential,150,4,216080,18,203.1912134000013,(0.8607215714;-0.595598835888;-2.06273361441;-1.98447677266),77.31000001,77.3120837442,0,3
15,1,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,236.41350380000222,(-2.8039372362;3.11603324866;3.89878105127;4.08841554584),1000.00000001,1001.10796242,0,3
15,2,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,238.54949879999913,(-1.1022382722;-2.95033116121;-4.12145248168;-2.13434234699),70.03000001,71.0854764027,0,3
15,3,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,240.87421890000041,(-1.83777573928;-1.00677555971;-2.23575720634;0.207878487145),-48.21999999,-48.1959404849,0,3
16,1,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,358.7526413000014,(3.63329445433;2.41202830588;0.148265339589;-2.54692296249),71.35000000999999,71.4511391718,0,3
